 Model	 Jan	 Feb	 Mar	 Apr	 May	 Jun	 Jul	 Aug	 Sep	 Oct	 Nov	 Dec
Lexus GX 	3,181 	2,136 	3,922 	3,959 	3,267 	2,428 	3,417 	3,332 	2,602 	- 	- 	-
Lexus IS 	1,275 	1,365 	2,139 	1,984 	1,785 	1,310 	1,519 	1,862 	1,429 	- 	- 	-
Lexus LC 	185 	185 	149 	103 	103 	65 	78 	86 	50 	- 	- 	-
Lexus LS 	143 	137 	140 	111 	93 	67 	90 	69 	44 	- 	- 	-
Lexus LX 	376 	595 	733 	767 	679 	530 	581 	614 	555 	- 	- 	-
Lexus NX 	5,573 	5,342 	7,077 	7,077 	6,957 	6,227 	6,844 	6,967 	5,192 	- 	- 	-
Lexus RC 	147 	119 	186 	135 	124 	94 	93 	85 	97 	- 	- 	-
Lexus RX 	6,521 	7,743 	10,452 	- 	8,859 	8,108 	8,997 	9,860 	8,682 	- 	- 	-
Lexus RZ 	263 	486 	705 	651 	911 	763 	800 	674 	86 	- 	- 	-
Lexus TX 	1,928 	3,533 	4,584 	4,877 	5,496 	4,729 	4,754 	5,227 	4,418 	- 	- 	-
Lexus UX 	753 	784 	988 	928 	884 	664 	777 	695 	426 	- 	- 	-
Lincoln Aviator 	1,434 	1,357 	1,978 	2,795 	2,749 	1,708 	1,470 	1,415 	1,504 	- 	- 	-
Lincoln Corsair / MKC 	1,683 	1,921 	2,636 	2,234 	2,483 	2,139 	2,052 	2,526 	2,132 	- 	- 	-
Lincoln MKX/Nautilus 	2,425 	2,482 	3,757 	3,841 	3,498 	2,530 	2,740 	2,814 	2,150 	- 	- 	-
Lincoln Navigator 	928 	994 	2,136 	2,745 	2,843 	1,767 	1,697 	1,624 	1,636 	- 	- 	-
Lucid Air 	800 	768 	832 	- 	- 	- 	720 	630 	750 	- 	- 	-
Lucid Gravity 	- 	- 	- 	- 	- 	- 	69 	60 	71 	- 	- 	-
Mazda 3 	2,983 	2,838 	3,530 	3,236 	2,453 	1,906 	2,082 	2,309 	1,500 	- 	- 	-
Mazda 6 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	-
Mazda CX-30 	6,657 	5,709 	8,666 	6,261 	4,329 	3,366 	4,124 	4,764 	3,271 	- 	- 	-
Mazda CX-5 	10,733 	10,876 	12,801 	12,590 	9,501 	13,759 	15,539 	11,759 	8,230 	- 	- 	-
Mazda CX-50 	6,335 	7,280 	9,687 	7,753 	7,188 	8,671 	13,810 	10,028 	8,876 	- 	- 	-
Mazda CX-70 	947 	1,223 	2,452 	1,691 	1,065 	980 	1,600 	1,639 	659 	- 	- 	-
Mazda CX-90 	5,345 	4,769 	5,039 	5,402 	4,046 	3,459 	6,739 	6,801 	3,109 	- 	- 	-
Mazda MX-30 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	-
Mazda MX-5 Miata 	681 	843 	922 	727 	355 	1,244 	1,163 	840 	524 	- 	- 	-
Mercedes-Benz A-Class 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	-
Mercedes-Benz AMG GT 	- 	262 	284 	248 	257 	229 	- 	- 	- 	- 	- 	-
Mercedes-Benz B-Class 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	-
Mercedes-Benz C-Class 	- 	2,388 	2,586 	2,098 	2,179 	1,937 	2,571 	2,249 	2,676 	- 	- 	-
Mercedes-Benz CLA 	- 	197 	213 	742 	770 	684 	533 	467 	555 	- 	- 	-
Mercedes-Benz CLE 	- 	794 	860 	1,487 	1,554 	1,373 	923 	808 	961 	- 	- 	-
Mercedes-Benz E-Class 	- 	1,170 	1,267 	1,402 	3,000 	1,294 	- 	- 	- 	- 	- 	-
Mercedes-Benz EQB 	- 	447 	484 	799 	830 	738 	- 	- 	- 	- 	- 	-
Mercedes-Benz EQE Sedan 	- 	307 	332 	174 	315 	280 	- 	- 	- 	- 	- 	-
Mercedes-Benz EQE SUV 	- 	1,111 	1,204 	407 	422 	375 	- 	- 	- 	- 	- 	-
Mercedes-Benz EQS SUV 	- 	514 	557 	240 	249 	222 	- 	- 	- 	- 	- 	-
Mercedes-Benz EQS-Sedan 	- 	252 	274 	174 	180 	160 	- 	- 	- 	- 	- 	-
Mercedes-Benz G-Class 	- 	728 	789 	927 	963 	856 	- 	- 	- 	- 	- 	-
