https://www.goodcarbadcar.net/2025-u-s-auto-sales-figures-by-model-all-vehicle-ranked/
U.S Vehicle Model Sales by Month (All Models)
This sales data table looks at monthly sales performance for every model sold in the United States on a month to month basis for the entire year so far. It includes all major models sold in the U.S market and you can see that the monthly sales trends clearly. Seeing the individual model sales performance in this way gives you a good sense of the momentum (good or bad).

 Model	 Jan	 Feb	 Mar	 Apr	 May	 Jun	 Jul	 Aug	 Sep	 Oct	 Nov	 Dec
Honda Accord	9,665	8,906	12,041	11,277	14,017	-	-	-	-	-	-	-
Honda Civic	16,173	18,178	24,625	23,553	25,809	-	-	-	-	-	-	-
Honda CR-V	27,280	30,458	45,587	41,483	37,848	-	-	-	-	-	-	-
Honda HR-V	11,817	13,484	15,643	13,912	13,258	-	-	-	-	-	-	-
Honda Odyssey	5,046	6,774	10,282	9,677	8,712	-	-	-	-	-	-	-
Honda Passport	2,643	3,497	5,558	5,457	5,480	-	-	-	-	-	-	-
Honda Pilot	8,849	10,204	13,589	12,157	11,220	-	-	-	-	-	-	-
Honda Prologue	3,744	2,933	2,884	1,847	2,110	-	-	-	-	-	-	-
Honda Ridgeline	2,866	3,254	4,831	4,274	4,289	-	-	-	-	-	-	-
Hyundai Elantra	8,866	10,163	14,461	13,125	15,741	-	-	-	-	-	-	-
Hyundai Ioniq 5	2,250	2,442	3,919	3,411	3,898	-	-	-	-	-	-	-
Hyundai Ioniq 6	871	1,012	1,435	1,106	1,197	-	-	-	-	-	-	-
Hyundai IONIQ 9	-	-	-	-	302	-	-	-	-	-	-	-
Hyundai Kona	4,365	5,629	7,024	7,914	7,779	-	-	-	-	-	-	-
Hyundai Nexo	-	-	-	1	-	-	-	-	-	-	-	-
Hyundai Palisade	6,687	7,806	11,742	10,502	11,207	-	-	-	-	-	-	-
Hyundai Santa Cruz	1,786	1,938	2,924	2,494	3,031	-	-	-	-	-	-	-
Hyundai Santa Fe	8,296	9,562	13,543	12,417	11,030	-	-	-	-	-	-	-
Hyundai Sonata	4,757	5,334	5,706	6,012	6,082	-	-	-	-	-	-	-
Hyundai Tuscon	15,025	16,317	23,631	22,054	19,905	-	-	-	-	-	-	-
Hyundai Venue	1,600	1,829	2,634	2,467	4,349	-	-	-	-	-	-	-
Infiniti Q50	135	130	141	-	-	-	-	-	-	-	-	-
Infiniti QX50	689	661	716	-	-	-	-	-	-	-	-	-
Infiniti QX55	283	272	295	-	-	-	-	-	-	-	-	-
Infiniti QX60	1,926	1,849	2,003	-	-	-	-	-	-	-	-	-
Infiniti QX80	1,355	1,300	1,409	-	-	-	-	-	-	-	-	-
Jaguar E-Pace	50	48	52	-	-	-	-	-	-	-	-	-
Jaguar F-Pace	367	352	381	-	-	-	-	-	-	-	-	-
Jaguar F-Type	40	38	42	-	-	-	-	-	-	-	-	-
Jaguar I-Pace	433	416	451	-	-	-	-	-	-	-	-	-
Jaguar XF	50	48	52	-	-	-	-	-	-	-	-	-
Jeep Cherokee	52	50	54	-	-	-	-	-	-	-	-	-
Jeep Compass	10,577	10,154	11,000	-	-	-	-	-	-	-	-	-
Jeep Gladiator	4,019	3,858	4,180	-	-	-	-	-	-	-	-	-
Jeep Grand Cherokee	16,155	15,509	16,801	-	-	-	-	-	-	-	-	-
Jeep Grand Wagoneer	616	592	641	-	-	-	-	-	-	-	-	-
Jeep Renegade	123	118	128	-	-	-	-	-	-	-	-	-
Jeep Wagoneer	1,800	1,728	1,872	-	-	-	-	-	-	-	-	-
Jeep Wagoneer S	865	830	900	-	-	-	-	-	-	-	-	-
Jeep Wrangler	12,654	12,148	13,160	-	-	-	-	-	-	-	-	-
Kia Carnival	3,665	4,440	6,469	6,405	6,975	-	-	-	-	-	-	-
Kia EV6	1,542	1,275	921	656	801	-	-	-	-	-	-	-
Kia EV9	1,232	1,360	1,164	232	37	-	-	-	-	-	-	-
Kia Forte	-	-	13,719	-	13,870	-	-	-	-	-	-	-
Kia K4	11,616	11,669	-	13,097	-	-	-	-	-	-	-	-
Kia K5	4,357	4,991	6,399	6,248	6,957	-	-	-	-	-	-	-
Kia Niro	1,202	1,485	2,431	2,350	2,354	-	-	-	-	-	-	-
Kia Seltos	2,840	3,707	4,828	4,051	5,254	-	-	-	-	-	-	-
Kia Sorento	6,871	7,699	10,547	9,659	9,093	-	-	-	-	-	-	-
Kia Soul	3,554	4,006	3,717	5,069	5,043	-	-	-	-	-	-	-
Kia Sportage	11,357	13,072	16,872	16,178	17,063	-	-	-	-	-	-	-
Kia Telluride	8,771	9,599	11,473	10,860	11,560	-	-	-	-	-	-	-
Land Rover Defender	2,900	2,784	3,016	-	-	-	-	-	-	-	-	-
Land Rover Discovery / LR4	333	320	347	-	-	-	-	-	-	-	-	-
Land Rover Discovery Sport	300	288	312	-	-	-	-	-	-	-	-	-
Land Rover Range Rover	2,633	2,528	2,739	-	-	-	-	-	-	-	-	-
Land Rover Range Rover Evoque	433	416	451	-	-	-	-	-	-	-	-	-
Land Rover Range Rover Sport	2,133	2,048	2,219	-	-	-	-	-	-	-	-	-
Land Rover Range Rover Velar	1,000	960	1,040	-	-	-	-	-	-	-	-	-
